,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain
4017,PHD,2017,New Delhi,3,40,Male,No,3
82,Bachelors,2016,Bangalore,3,38,Male,No,5
2172,Bachelors,2012,Bangalore,3,27,Male,No,5
613,Bachelors,2014,Pune,1,26,Female,No,4
3292,Bachelors,2014,Bangalore,3,39,Male,No,5
4631,Bachelors,2018,Bangalore,3,32,Male,Yes,1
2249,Bachelors,2012,Bangalore,3,29,Male,Yes,2
423,Bachelors,2017,Pune,2,27,Male,No,5
3989,Bachelors,2015,Pune,2,41,Female,No,7
2619,Bachelors,2015,Bangalore,3,30,Male,No,4
2927,Bachelors,2017,New Delhi,3,30,Female,No,3
1565,Bachelors,2013,Bangalore,3,25,Female,No,3
4513,Masters,2017,New Delhi,3,26,Male,No,4
3331,Bachelors,2014,Bangalore,3,31,Male,No,1
839,Bachelors,2012,Pune,3,24,Male,No,2
500,Bachelors,2015,New Delhi,3,25,Male,No,3
2029,Masters,2017,New Delhi,2,29,Female,No,2
2357,Bachelors,2017,Pune,2,29,Male,No,1
549,Bachelors,2012,Bangalore,3,26,Male,No,4
557,Bachelors,2017,New Delhi,3,26,Male,No,4
887,Bachelors,2017,Bangalore,1,27,Male,No,5
4141,Bachelors,2015,Pune,2,40,Female,Yes,0
1626,Masters,2015,New Delhi,3,28,Female,No,2
3299,Bachelors,2015,Pune,2,40,Female,No,4
4436,Bachelors,2016,Bangalore,3,22,Male,No,0
218,Bachelors,2013,Pune,2,25,Female,No,3
3364,Bachelors,2017,Bangalore,2,37,Male,No,2
4121,Bachelors,2014,Bangalore,3,30,Male,No,1
1138,Bachelors,2013,Pune,2,26,Female,No,4
209,Bachelors,2012,Bangalore,3,25,Male,No,3
4617,Bachelors,2012,Bangalore,3,39,Female,No,1
2242,Masters,2014,New Delhi,3,27,Male,No,5
2288,Bachelors,2017,Bangalore,3,29,Male,No,1
550,Masters,2015,Pune,1,27,Female,No,5
1424,Bachelors,2015,Bangalore,3,28,Male,No,2
2710,Bachelors,2018,Bangalore,3,28,Male,Yes,1
4209,Bachelors,2014,Pune,3,29,Male,No,3
3138,Masters,2014,New Delhi,3,36,Male,No,1
948,Bachelors,2017,Bangalore,3,25,Male,Yes,3
1652,Bachelors,2017,Bangalore,3,28,Male,Yes,3
4464,Bachelors,2017,Pune,2,25,Male,No,3
4377,Bachelors,2013,Bangalore,3,22,Male,Yes,0
532,Bachelors,2014,Bangalore,3,28,Male,No,3
4161,Bachelors,2016,Bangalore,3,28,Male,No,1
2834,Bachelors,2015,Bangalore,3,27,Male,No,5
3588,Masters,2013,New Delhi,3,35,Male,No,4
2763,Bachelors,2017,Bangalore,3,27,Male,No,5
1602,Bachelors,2014,Bangalore,3,28,Male,No,3
3035,Bachelors,2014,Bangalore,3,38,Female,No,2
639,Bachelors,2014,Bangalore,3,26,Male,No,4
4498,Bachelors,2013,Pune,2,37,Male,Yes,5
967,Masters,2018,New Delhi,3,25,Female,No,3
0,Bachelors,2017,Bangalore,3,34,Male,No,0
2309,Masters,2017,Pune,2,30,Male,No,1
3629,Bachelors,2015,Bangalore,3,34,Male,No,0
4564,Bachelors,2017,Bangalore,3,24,Female,No,2
3410,Bachelors,2017,Bangalore,3,34,Male,No,0
2765,Bachelors,2013,Pune,3,28,Male,No,5
1736,Bachelors,2013,Bangalore,1,24,Female,No,2
247,Bachelors,2015,Bangalore,3,27,Male,No,5
2195,Bachelors,2013,New Delhi,3,26,Female,No,4
2488,Bachelors,2013,Pune,3,27,Female,No,5
1903,Bachelors,2013,New Delhi,2,24,Female,No,2
3172,Bachelors,2015,Bangalore,3,32,Male,No,4
3590,Bachelors,2015,Bangalore,3,31,Male,No,5
3799,Bachelors,2016,Bangalore,1,38,Male,No,3
4484,Masters,2018,New Delhi,3,27,Female,Yes,5
2640,Bachelors,2015,Pune,1,30,Female,No,0
4355,Bachelors,2017,New Delhi,2,40,Female,No,5
2233,Bachelors,2014,New Delhi,3,28,Female,No,1
2680,Bachelors,2014,New Delhi,3,29,Male,No,4
4373,Bachelors,2013,Bangalore,3,30,Female,No,4
272,Bachelors,2013,Pune,3,28,Male,No,1
4643,Bachelors,2013,Bangalore,3,31,Female,No,5
1961,Bachelors,2013,Bangalore,3,28,Male,No,0
4598,Bachelors,2018,Bangalore,3,31,Male,No,0
278,Bachelors,2017,New Delhi,3,28,Female,No,3
952,Masters,2017,New Delhi,3,25,Male,No,3
2943,Bachelors,2013,New Delhi,3,27,Female,No,5
2096,Bachelors,2016,Bangalore,3,27,Male,No,5
2874,Bachelors,2018,Bangalore,3,28,Male,No,1
1747,Masters,2017,New Delhi,3,26,Male,No,4
4363,Bachelors,2016,Bangalore,3,24,Male,No,2
4304,Bachelors,2014,Bangalore,3,31,Male,No,5
4651,Bachelors,2012,Bangalore,3,30,Male,Yes,2
3936,Bachelors,2017,Bangalore,3,37,Male,No,3
1698,Bachelors,2014,Pune,3,28,Female,No,2
4388,Bachelors,2016,Pune,3,40,Male,No,2
2587,Bachelors,2015,Pune,3,29,Male,No,1
2210,Masters,2017,New Delhi,3,29,Male,No,2
2483,Bachelors,2013,Bangalore,3,30,Female,No,2
155,Masters,2012,New Delhi,3,26,Female,No,4
2510,Bachelors,2014,Bangalore,3,29,Male,No,1
985,Bachelors,2015,Bangalore,3,26,Male,No,4
3632,Bachelors,2012,Bangalore,3,36,Male,Yes,0
2829,Bachelors,2014,Bangalore,3,27,Male,Yes,5
2337,Bachelors,2018,Bangalore,3,26,Male,No,4
981,Bachelors,2016,Bangalore,3,26,Male,Yes,4
2575,Bachelors,2013,Bangalore,3,29,Male,No,2
2015,Bachelors,2012,Bangalore,3,26,Female,No,4
2330,Bachelors,2012,Bangalore,3,26,Male,No,4
3303,Bachelors,2012,Bangalore,3,38,Male,No,2
942,Bachelors,2014,New Delhi,3,26,Female,No,4
2576,Masters,2017,New Delhi,2,28,Female,No,2
3080,Bachelors,2018,Bangalore,3,36,Male,No,1
1400,Bachelors,2014,Bangalore,3,26,Male,No,4
1595,Bachelors,2017,Bangalore,3,24,Male,No,2
210,Bachelors,2017,Bangalore,3,27,Male,No,5
3344,Bachelors,2014,Bangalore,3,40,Male,No,0
1457,Bachelors,2016,Bangalore,3,27,Female,No,5
1509,Bachelors,2013,Bangalore,3,27,Male,No,5
1395,Bachelors,2014,Bangalore,3,25,Male,No,3
264,Bachelors,2016,Bangalore,3,26,Male,No,4
3226,Bachelors,2013,Bangalore,3,31,Female,No,4
1499,PHD,2013,New Delhi,3,27,Female,No,5
700,Masters,2017,New Delhi,2,26,Female,No,4
2024,Bachelors,2016,Bangalore,3,29,Male,No,2
644,Masters,2016,New Delhi,3,25,Female,No,3
4597,Bachelors,2012,Bangalore,3,25,Male,No,3
1405,Masters,2016,New Delhi,3,25,Male,No,3
1964,Bachelors,2014,Bangalore,3,26,Male,No,4
929,Masters,2012,New Delhi,3,28,Male,No,2
3423,Masters,2015,New Delhi,3,32,Male,No,0
2458,Bachelors,2015,Pune,3,29,Female,No,1
3211,Bachelors,2018,Bangalore,3,36,Male,No,3
2414,Bachelors,2013,Bangalore,3,30,Male,No,2
4528,Bachelors,2013,Pune,2,36,Male,No,4
246,Bachelors,2015,Bangalore,3,28,Male,No,2
3131,Masters,2017,Bangalore,3,39,Female,No,4
1758,Bachelors,2013,Pune,2,25,Male,No,3
4527,Masters,2018,New Delhi,3,39,Female,No,2
2465,Masters,2012,New Delhi,3,30,Male,No,2
923,PHD,2015,Pune,2,28,Female,No,1
3757,Bachelors,2017,New Delhi,2,31,Male,No,2
1185,Bachelors,2013,Bangalore,3,27,Male,No,5
268,Bachelors,2013,Bangalore,3,24,Male,Yes,2
669,PHD,2014,New Delhi,3,28,Male,No,2
4261,PHD,2016,New Delhi,3,33,Male,No,0
2406,Bachelors,2013,Bangalore,3,26,Male,No,4
2099,Masters,2017,Pune,2,26,Male,No,4
2610,Bachelors,2016,Bangalore,3,30,Male,No,0
2361,Masters,2018,New Delhi,1,30,Female,No,2
4541,Bachelors,2016,New Delhi,1,25,Female,Yes,3
2620,Masters,2012,New Delhi,3,27,Male,No,5
3017,Bachelors,2017,Bangalore,3,41,Male,Yes,3
648,Bachelors,2015,Bangalore,3,27,Male,No,5
543,Bachelors,2013,Bangalore,3,24,Male,No,2
4266,PHD,2013,Bangalore,3,40,Male,No,1
4248,Masters,2017,New Delhi,2,22,Male,No,0
1915,Bachelors,2014,Bangalore,3,27,Male,No,5
3351,Bachelors,2017,Bangalore,3,35,Male,No,3
259,Bachelors,2017,New Delhi,2,27,Female,No,5
2208,Bachelors,2012,Bangalore,3,26,Male,No,4
1988,Bachelors,2014,Bangalore,3,28,Male,No,1
2607,Bachelors,2018,Pune,3,27,Male,No,5
927,Bachelors,2017,Pune,3,24,Male,No,2
612,Bachelors,2016,Bangalore,3,26,Male,No,4
1543,Bachelors,2015,New Delhi,3,24,Female,No,2
1023,Bachelors,2013,Pune,1,27,Female,No,5
3759,Bachelors,2012,Bangalore,3,38,Female,No,5
1152,Bachelors,2013,Pune,3,24,Female,No,2
219,Masters,2012,New Delhi,3,26,Male,No,4
4157,Bachelors,2014,Bangalore,3,38,Female,No,5
485,Masters,2017,Pune,2,24,Male,No,2
3082,Bachelors,2015,Pune,2,35,Female,Yes,4
1649,Bachelors,2017,New Delhi,3,27,Male,No,5
3307,Bachelors,2012,Pune,3,33,Male,No,1
258,Bachelors,2013,New Delhi,1,27,Female,No,5
3859,Bachelors,2012,Pune,3,37,Male,No,5
386,Bachelors,2013,Bangalore,3,27,Male,No,5
847,Bachelors,2014,Bangalore,3,25,Female,No,3
3425,Bachelors,2012,Bangalore,3,31,Male,Yes,0
3955,PHD,2013,Bangalore,3,32,Male,No,5
2743,Bachelors,2017,Pune,2,27,Male,No,5
1477,PHD,2018,New Delhi,3,24,Female,No,2
3827,Bachelors,2017,Pune,3,33,Male,No,1
3608,Bachelors,2016,New Delhi,2,36,Female,No,4
553,Bachelors,2013,Bangalore,3,27,Male,No,5
1233,Bachelors,2017,Bangalore,3,27,Female,No,5
1127,Bachelors,2012,Pune,3,28,Male,No,5
2630,Bachelors,2014,New Delhi,2,29,Female,No,3
3794,Bachelors,2015,New Delhi,3,40,Female,No,1
3398,Bachelors,2018,Bangalore,3,32,Male,Yes,1
3572,Bachelors,2016,Bangalore,3,32,Male,No,4
1095,Bachelors,2013,New Delhi,3,27,Female,No,5
1620,Masters,2015,Pune,3,26,Female,No,4
3902,Bachelors,2015,Pune,2,39,Female,Yes,0
2282,Bachelors,2018,Pune,3,28,Male,No,1
1320,Bachelors,2017,New Delhi,2,27,Male,No,5
4262,Bachelors,2014,New Delhi,3,32,Male,No,5
507,Bachelors,2013,Bangalore,3,27,Male,No,5
7,Bachelors,2016,Bangalore,3,34,Female,No,2
1609,Bachelors,2012,Bangalore,3,25,Male,No,3
4073,Masters,2015,Pune,2,34,Female,No,2
3316,Bachelors,2012,Bangalore,3,39,Male,No,0
3414,Bachelors,2016,Bangalore,1,34,Male,Yes,2
4284,Bachelors,2015,Pune,2,22,Female,No,0
708,Bachelors,2013,Pune,2,25,Female,No,3
1450,Bachelors,2018,Bangalore,3,24,Male,No,2
2677,Bachelors,2012,Bangalore,3,29,Male,No,1
378,Bachelors,2014,Bangalore,3,26,Male,No,4
3720,Masters,2015,Pune,3,36,Male,No,3
1814,Bachelors,2013,Bangalore,3,27,Male,No,5
2266,Bachelors,2016,Bangalore,3,28,Male,No,1
678,Bachelors,2018,Pune,3,28,Male,No,1
773,Bachelors,2017,Bangalore,3,24,Female,No,2
3290,Bachelors,2013,Bangalore,2,38,Female,No,1
1011,Masters,2013,New Delhi,3,27,Male,No,5
2471,Bachelors,2014,Bangalore,3,29,Male,No,2
2917,Bachelors,2017,New Delhi,3,26,Female,No,4
3058,Bachelors,2012,Bangalore,3,33,Male,No,2
3665,Bachelors,2014,Pune,3,32,Female,No,4
1973,Bachelors,2017,Pune,3,28,Female,No,1
65,Bachelors,2018,Bangalore,3,40,Male,No,1
4039,Masters,2018,New Delhi,3,39,Female,No,2
4089,Bachelors,2013,Bangalore,3,39,Male,No,3
4599,Bachelors,2013,Bangalore,3,36,Male,No,0
4219,Masters,2017,New Delhi,2,34,Female,No,4
3616,Masters,2015,New Delhi,3,38,Male,No,1
679,Bachelors,2017,Bangalore,1,26,Female,No,4
4074,Bachelors,2017,Bangalore,3,36,Female,No,1
3927,Masters,2017,New Delhi,3,41,Male,No,3
781,Bachelors,2013,Bangalore,3,26,Male,No,4
3595,Bachelors,2012,Bangalore,3,34,Male,No,5
627,Bachelors,2012,Pune,3,28,Male,No,3
1749,Masters,2013,Bangalore,3,25,Male,No,3
3639,Bachelors,2012,Pune,2,35,Female,No,1
2168,Bachelors,2013,Pune,3,30,Male,No,2
2268,Bachelors,2014,Bangalore,3,30,Female,No,2
3160,Bachelors,2014,Bangalore,3,36,Female,No,1
2643,Bachelors,2017,Pune,2,30,Female,No,4
3439,Bachelors,2012,Bangalore,3,37,Male,No,3
883,Bachelors,2017,Bangalore,3,28,Male,No,1
1091,Masters,2014,New Delhi,3,28,Female,No,4
382,Bachelors,2013,Pune,3,27,Male,No,5
3379,Bachelors,2012,Bangalore,3,31,Female,No,3
3797,Bachelors,2013,Pune,3,32,Male,No,1
276,Bachelors,2012,Bangalore,3,25,Male,No,3
3235,Bachelors,2017,Pune,2,34,Female,No,5
31,Bachelors,2014,Bangalore,3,23,Male,No,1
3986,Bachelors,2014,Bangalore,3,35,Male,Yes,5
3047,Bachelors,2017,Bangalore,3,36,Male,No,5
3573,Bachelors,2017,Pune,2,35,Female,No,5
3836,Bachelors,2016,Pune,3,32,Male,No,3
1727,Bachelors,2012,Bangalore,3,27,Male,No,5
610,Bachelors,2017,Pune,3,27,Female,No,5
3774,Bachelors,2016,Bangalore,3,36,Female,No,0
570,Bachelors,2017,New Delhi,3,28,Female,No,2
2649,Bachelors,2017,Pune,2,28,Female,No,3
343,Bachelors,2016,Bangalore,3,24,Male,Yes,2
3163,Masters,2017,New Delhi,3,38,Male,No,2
3655,Bachelors,2016,Bangalore,3,33,Male,No,3
1702,Bachelors,2017,New Delhi,3,25,Female,Yes,3
4305,Bachelors,2015,Pune,3,22,Male,No,0
4053,Bachelors,2013,Pune,3,25,Female,Yes,3
4210,Bachelors,2012,Bangalore,3,23,Female,No,1
3309,Masters,2018,New Delhi,3,40,Female,No,2
1910,Bachelors,2017,Pune,2,27,Female,No,5
1089,Masters,2017,New Delhi,2,27,Male,Yes,5
2111,Bachelors,2013,Bangalore,3,29,Female,No,1
1135,Bachelors,2016,Pune,2,26,Female,No,4
2804,Bachelors,2014,Bangalore,3,27,Male,No,5
1537,Bachelors,2015,Bangalore,3,24,Female,No,2
2536,Bachelors,2017,Bangalore,3,28,Male,No,4
1945,Bachelors,2015,Bangalore,3,24,Male,No,2
841,Masters,2015,Pune,2,25,Female,No,3
1600,Bachelors,2016,Bangalore,3,26,Female,No,4
3341,Bachelors,2014,New Delhi,3,37,Male,No,3
3901,Bachelors,2014,Bangalore,3,37,Male,No,5
1517,Bachelors,2017,New Delhi,3,26,Male,No,4
965,Bachelors,2017,Bangalore,3,28,Male,No,3
4267,Bachelors,2017,New Delhi,2,34,Female,No,4
528,Bachelors,2016,Bangalore,3,28,Male,No,2
176,Bachelors,2012,Bangalore,3,25,Male,No,3
1621,Bachelors,2016,Bangalore,3,27,Male,No,5
422,Bachelors,2016,Bangalore,3,27,Male,No,5
3496,Bachelors,2012,Bangalore,3,41,Male,No,3
2342,Masters,2017,New Delhi,2,26,Male,Yes,4
4202,Bachelors,2012,Bangalore,3,36,Female,No,3
3567,PHD,2016,New Delhi,3,41,Male,No,1
1377,Bachelors,2016,Bangalore,3,24,Male,No,2
572,Bachelors,2013,Bangalore,3,28,Male,Yes,3
4613,Bachelors,2014,Bangalore,3,30,Male,No,4
2018,Bachelors,2018,Bangalore,3,26,Male,Yes,4
3064,Bachelors,2016,New Delhi,3,31,Female,No,4
288,Masters,2015,Pune,3,27,Female,No,5
3021,Bachelors,2012,Bangalore,3,36,Male,No,2
4008,Bachelors,2017,Bangalore,3,35,Male,No,5
3513,Masters,2013,New Delhi,3,40,Female,No,2
2810,Bachelors,2014,Pune,2,29,Female,No,1
4463,Bachelors,2014,Pune,2,40,Female,No,0
4098,Bachelors,2014,Bangalore,3,22,Male,No,0
3134,Bachelors,2016,Pune,3,31,Male,No,1
2274,Bachelors,2018,Pune,3,28,Male,No,2
3885,Bachelors,2013,Bangalore,3,39,Male,No,2
2256,Masters,2016,New Delhi,3,27,Male,Yes,5
2259,PHD,2013,New Delhi,3,30,Male,No,1
4403,Bachelors,2014,Bangalore,1,31,Female,No,5
2423,Bachelors,2012,Bangalore,3,26,Male,No,4
383,Bachelors,2015,Bangalore,3,28,Male,No,3
852,Bachelors,2013,Pune,2,25,Male,Yes,3
1880,Bachelors,2017,Bangalore,3,26,Female,No,4
370,Bachelors,2017,Bangalore,3,28,Male,No,3
2104,Bachelors,2012,Bangalore,3,28,Male,No,2
2586,Bachelors,2015,Bangalore,3,27,Female,No,5
2505,Bachelors,2017,Bangalore,3,28,Male,No,3
3959,Bachelors,2016,Bangalore,3,34,Male,No,4
3107,Bachelors,2015,Bangalore,3,32,Male,No,2
4446,Bachelors,2017,Bangalore,3,26,Female,No,4
3753,Masters,2013,New Delhi,3,32,Male,No,2
1105,Bachelors,2018,Bangalore,3,25,Female,Yes,3
4334,Bachelors,2015,Pune,2,36,Male,No,5
2245,Bachelors,2012,Pune,3,27,Male,No,5
3435,Bachelors,2017,Bangalore,3,35,Male,No,1
4565,Bachelors,2015,Bangalore,1,35,Male,No,3
141,Bachelors,2017,Pune,2,24,Female,No,2
4281,Bachelors,2013,Bangalore,3,37,Female,No,4
2292,Bachelors,2015,Pune,2,28,Female,No,1
491,Bachelors,2016,Pune,3,24,Male,No,2
3549,Masters,2017,New Delhi,3,41,Female,No,2
2053,Bachelors,2015,Pune,2,26,Female,No,4
2277,Bachelors,2014,New Delhi,3,27,Female,No,5
198,Bachelors,2015,Bangalore,3,28,Male,Yes,2
2566,Bachelors,2013,Bangalore,3,26,Female,No,4
4542,Bachelors,2013,Pune,1,23,Female,No,1
4512,Masters,2017,New Delhi,1,23,Male,No,1
1171,Bachelors,2013,Bangalore,3,26,Male,No,4
1226,Bachelors,2016,Bangalore,3,26,Male,No,4
1783,Bachelors,2013,Pune,3,28,Male,No,0
2283,Bachelors,2016,Pune,3,29,Male,No,1
1422,Bachelors,2015,New Delhi,3,26,Male,No,4
3933,Bachelors,2012,Bangalore,3,36,Male,No,1
4026,Bachelors,2012,Bangalore,3,29,Male,No,4
4198,Bachelors,2012,Bangalore,3,26,Male,Yes,4
1952,PHD,2017,New Delhi,3,24,Male,No,2
2464,Bachelors,2013,New Delhi,3,26,Male,No,4
195,Bachelors,2013,Pune,3,28,Male,No,1
1556,Bachelors,2013,Pune,1,26,Female,No,4
3814,Bachelors,2015,Bangalore,3,40,Male,No,0
874,Bachelors,2015,Pune,2,26,Female,No,4
3728,Bachelors,2015,Pune,2,39,Female,No,5
1873,Bachelors,2017,New Delhi,2,24,Female,No,2
4226,Masters,2015,Pune,2,26,Female,No,4
2057,Masters,2017,New Delhi,2,30,Male,No,2
3990,Bachelors,2018,Bangalore,3,34,Male,No,5
1251,Bachelors,2014,New Delhi,3,26,Male,No,4
2077,Bachelors,2017,Bangalore,3,27,Female,No,5
840,Bachelors,2012,Bangalore,3,26,Female,No,4
2686,Bachelors,2017,New Delhi,3,29,Female,No,0
581,Bachelors,2012,New Delhi,2,25,Male,No,3
4009,Bachelors,2012,Bangalore,1,28,Female,Yes,1
1752,Bachelors,2012,New Delhi,3,28,Male,No,5
1641,Bachelors,2013,Bangalore,3,24,Male,No,2
3295,Bachelors,2015,Pune,2,31,Female,No,1
3169,Bachelors,2014,Pune,3,40,Male,No,5
1871,Bachelors,2014,Bangalore,3,24,Female,No,2
905,Masters,2017,Bangalore,3,28,Male,No,1
631,PHD,2013,Bangalore,1,26,Male,No,4
2706,Bachelors,2015,New Delhi,3,29,Male,No,1
2721,PHD,2015,Pune,2,26,Female,No,4
1974,Bachelors,2016,Bangalore,3,24,Male,No,2
162,Masters,2017,New Delhi,3,24,Female,No,2
2771,Bachelors,2017,Bangalore,3,27,Female,No,5
2509,Bachelors,2012,Bangalore,3,29,Female,No,4
4187,Bachelors,2014,Pune,1,37,Female,No,4
413,Bachelors,2015,Pune,2,26,Female,Yes,4
617,Masters,2017,New Delhi,2,26,Female,No,4
3894,PHD,2013,New Delhi,3,36,Male,No,3
1431,Bachelors,2017,Bangalore,3,25,Male,No,3
925,Bachelors,2016,Bangalore,3,26,Male,No,4
3729,Bachelors,2012,Pune,2,32,Female,No,5
547,Masters,2014,Pune,2,27,Female,No,5
3007,Bachelors,2017,Bangalore,3,31,Male,No,0
4234,Bachelors,2016,Pune,3,22,Male,No,0
3768,Bachelors,2016,New Delhi,3,33,Male,No,1
1566,Bachelors,2017,Bangalore,3,24,Male,No,2
1592,Bachelors,2014,Pune,2,28,Female,No,3
4366,Bachelors,2017,Bangalore,3,40,Male,No,1
3811,Bachelors,2013,Pune,2,36,Male,No,2
3518,Bachelors,2015,Bangalore,3,38,Male,No,3
3795,Masters,2016,Bangalore,3,37,Male,No,2
3542,Bachelors,2016,Bangalore,3,36,Male,No,2
3447,Bachelors,2015,Bangalore,3,36,Male,Yes,4
1861,Bachelors,2013,Bangalore,3,28,Female,No,3
611,Bachelors,2014,Pune,3,26,Male,No,4
