,LeaveOrNot
1408,1
3326,1
1798,0
1475,1
2807,1
35,0
4650,1
2345,1
2776,0
2359,1
2206,1
3279,0
1286,0
349,1
3792,1
4378,1
1681,1
1443,1
2833,0
1671,1
2584,1
1179,1
3681,0
372,1
4309,0
1916,0
1357,1
1825,0
786,0
469,0
140,1
788,0
323,0
3994,0
714,0
4181,0
2446,0
4480,1
4119,0
4479,0
3491,0
406,0
2934,1
1004,0
2628,0
890,0
2411,0
2545,0
3000,0
2390,0
3429,0
4006,0
3784,0
303,1
4204,1
3262,0
664,1
1177,0
1947,0
2501,1
4010,1
3075,0
2132,0
3917,0
961,0
2009,1
2149,0
2902,1
2338,1
3383,0
304,1
1440,0
1496,1
916,0
3704,1
3241,0
1624,1
3336,0
821,0
3801,1
1354,1
4189,0
850,1
1000,0
2948,0
18,1
1637,0
1667,0
493,0
4174,1
3489,0
687,0
3248,0
1608,1
3558,0
3333,1
1009,1
2408,0
1092,0
1327,1
1677,0
1999,1
1310,0
1987,0
3181,1
344,0
3599,1
986,0
4245,0
3934,0
3483,0
2704,1
2651,1
1142,0
2358,0
1198,1
85,1
1518,0
3660,0
1381,1
2698,0
1014,1
128,1
1364,0
3159,0
2732,0
891,0
3750,0
1359,0
307,0
1661,0
2431,1
3424,0
1317,0
3915,1
2474,1
2542,0
3830,0
1208,1
216,1
3893,1
3386,1
1239,0
2289,0
275,1
489,0
1035,0
1229,0
1008,1
3535,0
2780,1
2532,0
3691,1
1058,0
2166,0
281,0
3113,0
1316,0
4632,1
968,1
4626,0
3412,1
3935,0
3074,1
619,0
3762,0
1742,0
1390,0
3528,0
1847,0
1579,0
1655,0
2352,0
2212,0
2020,1
1956,0
1307,0
2003,0
575,0
4567,0
3742,0
1706,0
3258,0
4015,1
3941,1
861,1
1801,0
1628,1
1993,1
2639,0
269,1
629,0
2334,1
300,0
459,0
1447,0
1472,1
2046,1
3776,0
3277,1
2113,0
3928,1
3338,0
837,0
3328,1
2008,1
4566,0
503,0
2798,0
3682,1
380,0
3732,0
1525,0
3752,0
2819,1
2340,1
374,0
3731,1
2381,1
3922,1
939,0
3347,1
3678,1
2147,1
3321,0
2068,0
529,0
3247,0
636,1
1269,0
185,1
3322,0
2778,0
3566,1
1797,1
1441,0
2991,1
4536,0
1535,1
1273,1
3578,0
607,0
1712,0
2199,0
955,0
2579,0
3740,0
4360,1
403,0
2071,0
4428,0
1977,0
158,1
1748,0
3683,0
902,0
352,0
1230,0
4351,0
2140,0
444,0
4603,0
754,1
1737,0
4633,0
311,0
548,0
4395,0
3858,1
306,0
2335,0
694,0
2356,1
1927,0
4094,1
749,0
2835,1
1266,0
3337,1
3081,0
3468,0
970,0
13,0
873,1
808,0
514,0
4167,0
409,0
3167,1
4580,0
207,1
4062,1
458,0
3032,1
2430,1
3188,0
3878,0
4345,1
3523,0
1883,0
1713,1
3996,0
4060,1
552,1
1439,0
2270,0
2821,0
4450,1
1925,0
634,0
4472,1
316,0
3761,1
4379,0
1328,0
427,0
3837,1
105,1
142,0
2169,0
2908,0
89,0
2241,1
2977,0
2163,1
2636,0
1949,1
1768,1
2272,0
1,1
2865,1
4612,1
1951,0
3570,0
3972,0
2720,0
3046,1
1109,0
3129,1
591,1
1695,1
3781,1
4465,0
1576,1
3443,0
213,1
778,0
3810,0
3273,1
2043,0
2848,1
4225,0
3062,0
3317,0
1567,0
4035,0
4394,0
3127,1
4583,0
1343,0
2013,0
273,0
71,0
3382,0
1087,0
394,1
583,0
1367,0
4640,0
3560,0
2548,0
3592,0
4558,0
4456,0
4453,0
3084,0
1763,0
4016,0
1259,0
4220,1
2253,1
2781,0
526,0
377,0
1559,1
3323,0
1963,1
4410,0
348,1
2434,0
2246,0
3679,0
1709,1
1050,0
590,0
519,1
4259,1
3611,0
2477,0
1083,0
3130,0
4447,0
4201,1
1294,1
1809,0
791,0
792,1
3737,0
1980,1
3401,1
2954,1
1530,0
1410,0
3898,0
4331,0
83,0
868,0
2350,0
20,0
2988,0
3872,1
4260,0
1562,0
973,1
1710,0
3466,0
4486,0
1098,0
3674,0
2844,1
886,0
3203,1
4268,0
4102,1
515,0
737,1
1453,0
3456,1
4380,1
2506,1
2126,1
2926,0
906,1
3365,1
3918,0
2507,1
2428,0
947,0
3311,0
3544,0
715,0
3589,0
686,0
703,1
2353,0
2257,1
3929,0
21,0
2752,1
885,1
4064,0
917,0
3271,0
3265,1
2239,0
4314,0
1265,0
483,0
4424,1
2963,0
1219,1
277,0
988,1
2084,0
1245,0
2382,0
571,0
1435,1
993,0
3014,0
3010,0
585,1
3189,1
2514,0
1349,1
1007,1
674,0
2412,1
2903,0
447,1
3207,0
4460,1
3992,1
2064,1
4147,0
3315,1
1690,1
1548,1
1247,0
1985,0
294,1
1547,1
2012,0
588,0
2403,0
2129,1
4082,1
4270,0
2719,1
425,1
2582,1
1054,0
3469,1
4250,0
556,0
4025,0
3427,0
4392,1
4170,0
4390,0
3604,0
1193,0
1716,1
2604,0
3617,0
2828,0
1704,0
2863,0
2618,1
2400,0
2139,1
2383,0
3260,0
1285,1
4525,0
3339,0
4163,0
2087,0
1889,1
1591,0
1346,1
4130,1
2162,1
2396,1
3176,1
2271,0
4183,0
1137,0
3504,0
972,1
795,0
3020,0
1711,0
36,0
453,0
913,0
3555,1
1199,1
1274,0
2375,0
37,1
974,1
983,0
4280,1
1418,0
1560,1
39,0
1486,1
3378,1
169,1
1355,1
4048,0
3166,1
4422,1
3485,0
2682,0
4306,0
1640,1
1290,1
1380,1
1933,1
579,1
3764,0
2030,0
892,0
780,0
159,0
2,0
3649,1
2109,0
849,0
2737,1
2466,0
4437,1
1596,0
1776,0
1913,0
1043,1
1544,0
2736,0
3227,0
53,0
1796,0
1911,0
3782,1
2553,0
2800,0
3559,0
3615,0
824,1
4411,0
1389,1
884,1
3725,1
1607,0
1594,0
771,1
2611,0
2273,0
1868,0
1085,1
3628,0
1325,0
1463,0
806,0
4291,0
3888,0
2108,0
3788,1
4611,0
2234,0
963,0
4251,0
398,1
2632,0
4515,1
2996,0
704,0
431,1
292,0
4529,0
145,0
3642,0
2033,0
3747,0
1165,0
2050,0
2624,0
4069,1
339,0
3199,0
2973,0
265,0
2424,0
1262,0
1771,1
271,0
696,0
747,0
244,0
317,1
476,0
2032,1
957,0
3320,0
813,1
3693,0
1914,0
4288,0
1297,0
1804,0
3838,1
250,0
2461,0
545,0
738,0
310,0
2941,0
1131,1
1449,1
4578,0
15,0
2769,0
920,1
3029,0
4348,0
2544,1
38,1
363,0
3576,1
182,1
3033,0
2983,1
1194,0
2852,0
4059,1
1121,1
2235,1
2667,0
3221,0
1182,1
3897,0
614,0
1466,0
401,0
3042,1
934,1
2419,0
3509,1
2641,0
4271,0
726,1
826,0
1521,0
4420,0
2930,0
136,1
628,1
334,1
390,0
4080,1
4537,1
4561,1
1817,0
400,0
710,0
1039,0
3473,1
46,0
1561,0
4466,0
4508,1
1112,0
2513,0
1223,0
3537,1
3023,0
2421,1
1508,1
1750,1
4502,0
3568,0
1799,1
338,0
215,0
1341,0
11,0
1520,0
3426,0
3926,1
3004,0
2864,0
3115,0
3785,1
2322,1
2571,1
2913,0
101,0
3808,0
171,0
107,0
4001,0
4644,1
3899,0
3540,0
3358,0
3609,0
3547,0
4056,0
1240,0
4320,1
1040,0
3715,1
2760,1
2120,0
1524,0
153,0
2248,0
481,0
3783,0
3924,0
3613,0
1762,0
4470,1
750,0
1785,1
3680,0
3630,1
405,0
757,1
2711,0
2670,0
3467,1
97,1
1333,0
4149,0
2791,0
2854,1
186,1
3484,1
2723,0
2058,0
3741,1
148,1
28,1
3633,1
3756,1
692,1
2866,0
1386,0
1845,0
4409,1
3640,1
1599,0
3980,1
701,0
3028,1
2969,0
1708,0
2953,0
454,0
2868,1
2040,1
4359,0
2315,1
609,1
167,0
730,1
3822,0
2074,0
3519,0
1622,0
587,0
1401,0
3045,0
3224,0
1700,0
3088,1
3876,0
2981,0
40,0
1379,0
2089,0
2175,1
3217,1
4265,1
3825,0
3402,0
2657,0
3180,0
2076,0
441,1
3529,1
2051,1
2541,1
3306,0
1301,0
1781,0
4481,0
1304,0
236,0
2599,0
520,0
2573,0
3280,0
3186,0
2768,1
735,0
4383,0
2106,1
2679,1
3229,0
2761,1
592,0
1303,0
1387,0
4375,0
4415,0
3938,0
2987,0
4581,1
3297,0
904,1
4294,0
1279,1
933,1
4560,1
2308,1
1555,0
4222,0
3190,0
4139,1
706,1
4370,1
3070,0
745,0
1939,0
4101,1
2862,0
3478,0
513,0
81,1
4630,1
1308,0
4236,0
914,1
4471,1
3156,0
2198,0
774,1
329,0
2054,0
2001,0
943,1
822,0
4217,1
909,0
2516,1
181,0
164,0
1523,0
451,0
2538,0
3583,0
4445,0
1311,0
3149,0
1111,0
4235,0
1287,1
3699,0
3979,0
3689,0
3300,0
3310,0
4244,0
3125,0
327,0
1790,0
2490,0
2006,0
2007,0
1858,1
4365,0
312,0
832,1
3079,1
4397,1
3462,0
1201,0
4087,0
3475,0
2134,1
3451,0
2209,0
1901,0
1481,0
777,0
799,0
54,0
2972,0
3335,0
1920,1
4329,1
3816,0
1701,1
3293,1
2161,0
1136,1
987,0
2549,1
3813,0
3057,0
3246,1
1394,1
2637,0
768,0
4382,0
3090,0
3495,0
3215,0
285,0
4593,1
428,1
4349,0
2332,0
2717,1
2079,0
3389,0
722,0
951,0
4040,0
2262,0
989,1
3212,0
1759,0
3968,0
326,1
2608,0
1383,0
1724,1
1086,0
2523,0
341,0
147,0
688,0
3432,0
1107,0
848,1
966,0
4407,1
1492,0
2203,0
4439,0
661,0
1002,0
62,1
284,0
2224,1
4386,1
1879,0
4519,0
1203,0
1990,1
24,0
4516,0
3909,0
3695,0
4066,1
875,0
4419,0
938,1
2687,1
2394,1
4255,0
4634,1
3612,1
385,0
4054,1
4257,0
3891,1
2291,0
3705,0
936,0
4325,0
2360,1
3507,1
201,0
3208,1
1332,1
3016,0
3502,0
2708,0
1934,0
935,1
2418,1
566,0
1854,0
4164,1
2872,0
3030,1
1205,1
2467,0
1645,0
3417,1
3476,0
3765,0
2861,0
1792,0
1430,0
2826,0
3368,0
3367,0
3533,1
3100,1
4095,1
1013,0
1928,0
3449,0
4252,1
3056,1
4028,0
126,0
3714,0
2935,0
3204,0
1347,0
3055,0
355,0
4338,0
3531,0
2730,1
827,1
1639,0
3040,0
984,0
3281,0
4625,0
2188,0
4591,0
2443,0
362,0
2349,0
345,0
3652,1
4293,0
711,1
3205,1
3673,1
4462,1
3658,1
3325,0
10,1
1683,0
2116,0
4412,0
1834,0
793,0
3363,0
4601,0
2802,1
2674,1
94,1
3668,0
129,1
2891,0
2371,0
3954,0
3646,0
3332,0
3228,0
4577,0
2995,1
2263,0
1900,0
3879,0
814,1
3230,0
1932,0
3908,0
3802,0
2912,0
1865,0
1658,1
516,0
3593,0
1857,1
2645,1
2243,0
1277,0
2336,0
950,1
3482,1
3044,1
3068,0
1120,0
4148,1
2597,1
2204,0
419,0
922,0
3896,0
477,1
2035,0
3855,1
1692,0
3916,1
3905,0
3571,1
1471,1
2601,0
1202,0
2438,0
2626,1
1669,0
4485,0
1970,0
3110,0
2151,0
3687,1
820,1
1997,0
4553,1
3054,0
1248,0
4619,0
2712,1
992,0
2190,0
4346,1
1046,0
1888,1
2469,0
3708,0
2847,0
3597,0
615,0
1318,1
1863,0
2343,1
2449,1
2136,0
1065,0
1772,0
4615,0
131,1
3815,0
3481,1
77,0
3450,1
2898,1
2052,1
4192,0
724,1
1314,0
4043,0
1851,1
2317,1
4058,0
872,0
1372,0
1855,0
4455,1
2965,0
3864,0
1319,0
2560,0
4557,0
2635,1
3839,0
3530,0
375,1
1908,1
333,0
3982,0
4313,1
2365,0
1604,0
1118,0
3677,0
3490,0
4526,0
3621,0
1943,1
2958,0
3997,0
4610,1
4018,0
2376,0
4505,1
1342,0
320,0
1619,0
3713,1
4197,0
2060,0
2945,1
2219,0
1673,0
1942,0
260,0
4636,1
2039,1
689,1
901,0
3744,0
2306,0
2026,1
2892,1
4483,0
138,0
1917,1
1828,0
1573,0
319,0
653,0
2137,1
4096,1
558,1
2187,0
112,1
531,1
224,1
723,1
4178,0
2883,0
1141,0
1433,1
2373,0
4100,0
3371,0
2220,1
1458,1
3097,0
1415,1
2762,0
846,1
193,0
1464,1
2621,0
946,0
2021,0
2551,0
1629,0
2928,0
117,0
645,1
1870,0
3,1
74,1
1755,1
467,1
3393,0
5,0
1246,0
919,0
2595,0
228,1
1063,0
2590,0
242,1
2946,1
4522,0
1160,0
2870,0
3735,1
1630,0
3949,0
3517,0
2890,0
3421,0
2563,1
2671,1
1526,1
1605,0
4494,0
2324,0
2709,0
4099,1
1312,1
3448,0
3812,0
1989,0
4336,0
2362,0
1975,0
3514,0
1761,1
3391,0
1305,1
2739,0
1541,0
4340,1
2472,0
3625,0
2642,0
2795,1
4159,0
4356,0
622,1
4086,1
1493,1
110,0
2275,0
4003,0
1169,0
4207,0
232,0
66,0
4242,1
1603,0
2072,1
3283,0
3596,0
2192,1
536,0
2859,0
125,0
3545,1
2133,1
1254,0
1296,0
1976,1
4208,1
4175,0
2075,1
484,1
1654,0
1215,1
3086,0
4004,0
4239,1
4047,0
4216,0
3345,0
4160,0
1774,0
2410,0
2797,0
918,0
1646,0
1026,1
1030,1
882,0
1335,1
2746,1
3930,0
2713,0
364,1
4506,1
3287,0
2125,0
27,0
473,1
525,0
725,0
55,0
638,1
302,0
2766,0
4343,0
1276,0
1890,0
624,1
2055,1
1280,1
2851,1
1049,1
336,0
3644,1
47,0
2878,0
106,0
2397,0
1079,1
2286,0
2261,0
1144,0
2094,1
2296,0
2841,0
3144,0
1836,1
1753,0
1101,1
1968,1
4013,0
3117,0
2393,0
523,0
2280,1
2692,1
4144,1
2885,0
1428,1
2581,1
3900,1
681,0
603,1
1489,1
4554,1
3860,0
4497,1
3122,1
4195,0
60,0
1969,1
671,0
92,0
666,0
3988,0
1887,0
3266,0
280,0
1719,1
4023,1
359,0
899,0
3591,1
1935,0
4569,0
1994,0
4084,1
2895,0
3254,0
3734,0
760,0
2158,1
1906,1
3823,1
42,1
3818,0
2173,0
204,0
1473,1
2100,0
3845,0
2593,0
68,0
4033,0
1875,0
3579,0
2832,0
4138,0
3472,1
2231,1
137,0
2947,0
796,0
2180,0
2128,0
3634,0
3177,0
758,1
541,1
1019,0
4042,0
3031,0
3552,1
165,0
248,0
1331,0
2017,0
446,0
2482,0
2906,0
1358,0
2845,0
3921,0
2145,0
1329,0
2853,0
2785,0
763,1
4127,0
3493,1
2150,0
434,0
2122,0
577,1
3981,0
2900,0
1252,1
3278,0
2966,0
3374,1
2814,0
4457,0
2448,1
1848,0
762,0
3805,0
3037,0
388,0
235,0
1077,0
1984,1
267,0
3377,1
3962,0
770,0
2165,1
437,0
673,0
249,1
2201,1
1574,0
3143,1
2142,0
3419,0
2081,1
1823,1
487,0
880,0
448,0
1469,1
4594,1
716,0
684,1
50,0
2048,1
2724,1
4212,0
1460,0
1668,0
2756,0
2000,0
404,0
384,0
4184,0
2152,0
1633,0
4273,0
3925,0
223,0
2193,1
3136,0
1824,0
4286,0
797,1
2871,0
9,0
1944,0
1838,0
255,0
4200,0
1581,1
2956,0
924,1
4128,0
2508,1
3775,1
2779,1
539,0
2745,0
4190,0
1145,0
667,0
3019,0
357,1
2831,0
2783,1
1353,0
470,1
2703,0
3330,1
3637,0
1396,0
3584,0
4179,1
3376,0
1256,1
3512,0
1250,0
4568,0
3284,1
2933,0
1852,1
4531,0
2105,1
133,0
928,0
823,1
4231,0
1531,1
1214,0
504,0
1996,0
3072,0
1958,0
1384,0
894,0
455,0
4319,1
3709,0
4302,1
3522,0
4134,0
3602,1
713,1
2214,1
2923,1
1810,0
3486,1
3141,0
1827,0
1155,1
1324,0
510,0
1680,0
499,1
4224,0
1856,0
1388,1
3719,1
2386,0
3236,1
1540,0
1217,1
2681,1
2993,1
1191,0
1542,1
3301,0
3324,1
2539,1
953,1
732,0
1156,0
3294,1
2982,0
2156,1
1062,0
2616,0
1167,0
3222,0
3636,0
2938,0
3140,0
143,0
3577,0
2782,0
717,0
1819,1
2502,0
4171,0
395,0
4501,0
1365,0
4246,0
595,0
3952,0
2914,0
2326,1
3766,0
3440,0
3851,1
4132,0
4278,0
2143,0
1571,0
4079,0
1122,1
2786,0
2967,0
2504,0
3465,0
675,1
2808,1
3348,0
728,1
412,0
3146,0
1516,0
825,0
3267,1
3974,0
616,0
114,0
417,0
3069,1
1625,0
4605,0
4185,0
2896,1
4352,1
2082,0
753,0
2546,1
3969,0
3373,1
4107,1
2444,0
1066,0
3913,1
3498,1
2738,0
4000,1
1568,1
2427,1
3746,0
4322,1
1687,1
851,1
3546,1
895,0
335,1
2839,0
3087,1
1348,1
1015,0
2816,0
1631,0
2489,0
3730,0
3251,0
4317,0
2070,0
4543,0
1635,1
2479,0
2265,1
2959,0
3059,0
2141,0
3118,0
4405,1
4045,0
3356,0
2744,0
3506,0
1679,0
4249,1
3147,1
2294,1
580,0
1470,1
4070,1
3343,1
3672,0
559,0
2849,0
512,0
1081,0
1664,0
1012,0
1931,0
1150,1
2838,0
116,0
740,0
4473,0
3675,1
830,1
119,0
4448,0
4416,0
635,0
4142,0
991,0
876,0
4,1
3051,0
3124,0
2660,0
2491,0
3854,0
1715,0
1148,1
3261,1
574,1
3769,0
3736,1
4146,0
853,1
1982,0
2774,1
1166,0
971,0
2701,0
3847,0
2368,0
4115,0
4131,0
2950,0
524,0
2455,0
1841,1
537,0
2806,1
4341,0
3175,0
784,0
4057,1
1409,1
2537,0
154,1
3009,0
1686,1
2901,0
4604,1
3863,1
2733,0
1895,0
569,0
1816,1
2065,0
127,0
3394,0
3327,0
4639,1
2975,1
980,0
2300,1
190,0
1139,0
699,0
4449,1
606,1
4276,0
301,0
3420,1
4487,1
1060,0
2565,0
4647,0
1069,1
2524,0
2205,1
1243,0
16,0
3120,1
815,1
3067,1
959,0
225,0
3354,1
2485,0
562,1
3436,0
1693,0
1045,1
3446,0
954,0
2735,0
4563,0
1218,0
1527,1
3987,0
1300,0
160,0
4067,0
956,0
3791,0
3234,0
2869,0
3777,0
2961,0
2200,0
98,0
2557,1
3183,1
253,0
3923,1
4199,0
1445,1
1648,0
3991,0
1696,0
3191,0
1154,0
2255,0
1682,1
3170,0
2056,0
4090,0
3108,1
3723,1
2049,0
3643,0
4584,1
623,0
262,1
